date,demand
2019-04-14,63949
2019-04-15,70026
2019-04-16,71581
2019-04-17,71580
2019-04-18,70883
2019-04-19,71017
2019-04-20,64460
2019-04-21,60774
2019-04-22,69717
2019-04-23,70442
2019-04-24,71041
2019-04-25,72047
2019-04-26,71063
2019-04-27,66881
2019-04-28,60439
2019-04-29,59601
2019-04-30,61237
2019-05-01,59052
2019-05-02,57168
2019-05-03,55680
2019-05-04,56188
2019-05-05,56241
2019-05-06,59686
2019-05-07,66858
2019-05-08,69377
2019-05-09,69252
2019-05-10,70086
2019-05-11,65106
2019-05-12,59906
2019-05-13,68641
2019-05-14,71042
2019-05-15,70625
2019-05-16,71136
2019-05-17,71221
2019-05-18,64658
2019-05-19,61821
2019-05-20,70109
2019-05-21,73122
2019-05-22,70224
2019-05-23,71101
2019-05-24,72910
2019-05-25,67661
2019-05-26,66699
2019-05-27,79382
2019-05-28,76158
2019-05-29,73656
2019-05-30,72975
2019-05-31,72603
2019-06-01,65917
2019-06-02,62272
2019-06-03,72584
2019-06-04,75291
2019-06-05,74975
2019-06-06,79952
2019-06-07,76213
2019-06-08,67236
2019-06-09,61326
2019-06-10,70750
2019-06-11,70730
2019-06-12,70936
2019-06-13,72651
2019-06-14,73394
2019-06-15,66074
2019-06-16,63720
2019-06-17,72020
2019-06-18,75731
2019-06-19,77630
2019-06-20,78407
2019-06-21,79386
2019-06-22,69395
2019-06-23,63983
2019-06-24,71683
2019-06-25,75135
2019-06-26,78429
2019-06-27,81150
2019-06-28,83128
2019-06-29,69013
2019-06-30,66442
2019-07-01,76433
2019-07-02,79757
2019-07-03,80535
2019-07-04,78434
2019-07-05,74855
2019-07-06,67514
2019-07-07,63405
2019-07-08,71129
2019-07-09,71863
2019-07-10,72795
2019-07-11,73477
2019-07-12,74035
2019-07-13,69367
2019-07-14,65296
2019-07-15,68196
2019-07-16,74589
2019-07-17,79488
2019-07-18,82858
2019-07-19,87259
2019-07-20,79014
2019-07-21,72677
2019-07-22,78461
2019-07-23,83594
2019-07-24,88164
2019-07-25,92035
2019-07-26,92567
2019-07-27,84300
2019-07-28,80713
2019-07-29,95870
2019-07-30,99676
2019-07-31,102492
2019-08-01,104681
2019-08-02,104832
2019-08-03,93242
2019-08-04,87728
2019-08-05,101268
2019-08-06,104708
2019-08-07,103939
2019-08-08,103759
2019-08-09,101726
2019-08-10,91074
2019-08-11,82739
2019-08-12,81644
2019-08-13,85387
2019-08-14,83975
2019-08-15,83737
2019-08-16,83726
2019-08-17,87460
2019-08-18,85810
2019-08-19,93277
2019-08-20,91432
2019-08-21,91035
2019-08-22,88771
2019-08-23,88090
2019-08-24,80449
2019-08-25,74946
2019-08-26,82554
2019-08-27,84953
2019-08-28,84701
2019-08-29,93182
2019-08-30,86456
2019-08-31,80801
2019-09-01,77114
2019-09-02,91073
2019-09-03,87669
2019-09-04,80950
2019-09-05,84404
2019-09-06,92929
2019-09-07,87213
2019-09-08,83981
2019-09-09,94170
2019-09-10,100181
2019-09-11,95989
2019-09-12,84893
2019-09-13,76231
2019-09-14,68329
2019-09-15,69365
2019-09-16,72840
2019-09-17,84475
2019-09-18,76993
2019-09-19,75591
2019-09-20,75731
2019-09-21,67835
2019-09-22,64405
2019-09-23,75686
2019-09-24,82651
2019-09-25,79799
2019-09-26,77199
2019-09-27,77924
2019-09-28,71272
2019-09-29,68787
2019-09-30,79109
2019-10-01,80565
2019-10-02,80326
2019-10-03,79635
2019-10-04,81643
2019-10-05,73659
2019-10-06,63769
2019-10-07,72028
2019-10-08,75468
2019-10-09,72441
2019-10-10,72365
2019-10-11,73503
2019-10-12,61846
2019-10-13,61586
2019-10-14,64337
2019-10-15,70580
2019-10-16,70452
2019-10-17,71250
2019-10-18,71941
2019-10-19,66773
2019-10-20,61610
2019-10-21,67226
2019-10-22,67264
2019-10-23,70686
2019-10-24,71541
2019-10-25,74489
2019-10-26,65990
2019-10-27,61480
2019-10-28,68927
2019-10-29,73180
2019-10-30,71643
2019-10-31,71395
2019-11-01,70583
2019-11-02,64542
2019-11-03,61724
2019-11-04,64344
2019-11-05,71172
2019-11-06,72143
2019-11-07,72489
2019-11-08,71787
2019-11-09,66277
2019-11-10,62735
2019-11-11,72688
2019-11-12,72945
2019-11-13,74584
2019-11-14,73560
2019-11-15,73553
2019-11-16,67909
2019-11-17,64315
2019-11-18,72979
2019-11-19,72910
2019-11-20,75563
2019-11-21,77289
2019-11-22,85052
2019-11-23,74764
2019-11-24,66428
2019-11-25,73086
2019-11-26,82815
2019-11-27,83819
2019-11-28,86431
2019-11-29,87490
2019-11-30,80160
2019-12-01,75818
2019-12-02,85326
2019-12-03,80793
2019-12-04,82436
2019-12-05,84221
2019-12-06,88114
2019-12-07,86403
2019-12-08,76893
2019-12-09,91390
2019-12-10,86328
2019-12-11,82310
2019-12-12,81170
2019-12-13,89090
2019-12-14,78454
2019-12-15,75423
2019-12-16,86564
2019-12-17,88947
2019-12-18,83227
2019-12-19,87961
2019-12-20,82509
2019-12-21,80890
2019-12-22,79672
2019-12-23,87886
2019-12-24,87803
2019-12-25,90902
2019-12-26,88473
2019-12-27,79824
2019-12-28,76246
2019-12-29,71523
2019-12-30,73433
2019-12-31,66657
